episode,win,reward,length,opponent
154,0,(8321.703912384568+0j),6010,random
155,1,(1203.2487852642753+0j),896,random
156,1,(3949.624355809425+0j),2791,random
157,1,(811.1112641413104+0j),547,random
158,1,(833.2387515676621+0j),461,random
159,1,(3241.716711047071+0j),2462,random
160,1,(2332.740820970559+0j),1538,random
161,1,(7818.300026539872+0j),4581,random
162,0,(4714.374030678922+0j),4458,random
163,0,(7371.380674728552+0j),5848,random
164,1,(848.2326688390774+0j),495,random
165,0,(4419.615010959928+0j),3522,random
166,1,(4469.801640819134+0j),2981,random
167,1,(1439.4856026496468+0j),1112,random
168,1,(2802.898681544309+0j),1851,random
169,1,(900.876063461903+0j),721,random
170,1,(3026.1457552016996+0j),2278,random
171,1,(1254.9106203730078+0j),813,random
172,0,(6151.640529454216+0j),5129,random
173,0,(5855.478320718119+0j),5578,random
174,0,(3510.9246926653345+0j),2902,random
175,1,(1013.8592533171484+0j),663,random
176,1,(1865.087901508056+0j),1268,random
177,1,(753.2824202254369+0j),533,random
178,1,(2484.9811760598404+0j),1630,random
179,1,(507.8293259864581+0j),274,random
180,1,(733.0004570337192+0j),487,random
181,1,(672.3209531659568+0j),380,random
182,1,(1140.9437251930744+0j),669,random
183,0,(942.0698975852998+0j),746,random
184,1,(3005.770004659452+0j),2417,random
185,1,(1390.0408848859677+0j),943,random
186,1,(716.5802446277987+0j),423,random
187,1,(2012.846286705767+0j),1224,random
188,0,(6286.254799190048+0j),4868,random
189,0,(4985.189488299184+0j),4558,random
190,1,(6212.140136435088+0j),4681,random
191,1,(1676.9286902724798+0j),1215,random
192,1,(1496.2603831488705+0j),948,random
193,0,(6328.232779330379+0j),4990,random
194,0,(8155.754025861262+0j),5262,random
195,1,(2419.1639047301287+0j),1827,random
196,1,(2499.3878655819117+0j),1860,random
197,1,(2095.8787455399806+0j),1341,random
198,1,(889.8642246667578+0j),602,random
199,1,(1144.568069136141+0j),732,random
200,1,(2286.605067403113+0j),1577,random
201,1,(2455.9973045859874+0j),1716,random
202,1,(739.28384517312+0j),462,random
203,1,(1847.4574630261898+0j),1190,random
204,1,(1074.329494468792+0j),695,random
205,1,(863.8741093496144+0j),484,random
206,1,(1151.5294181286608+0j),757,random
207,1,(945.3569877887188+0j),587,random
208,1,(578.4486565194508+0j),418,random
209,1,(2373.712342843622+0j),1548,random
210,1,(2193.0284163673136+0j),1801,random
211,1,(854.9384331573561+0j),679,random
212,1,(4581.024351816696+0j),3459,random
213,1,(1209.2779811347277+0j),796,random
214,1,(2285.163377615335+0j),1544,random
215,1,(833.4967727502203+0j),618,random
216,1,(1194.841680140963+0j),721,random
217,1,(3131.0706368699216+0j),2530,random
218,1,(1762.2307623370534+0j),1243,random
219,1,(428.3361933261022+0j),300,random
220,1,(4033.666695349122+0j),3155,random
221,1,(1510.1406413737511+0j),950,random
222,1,(596.0542006627292+0j),413,random
223,1,(553.7706019340806+0j),371,random
224,1,(1508.3177021159613+0j),949,random
225,0,(2139.460479056929+0j),1335,random
226,1,(1379.182861774419+0j),891,random
227,1,(613.3889557452062+0j),452,random
228,1,(5650.798065416003+0j),3680,random
229,1,(577.0193675222783+0j),375,random
