episode,win,reward,length,opponent
263,0,3783.313382933536,3698,random
264,0,1382.3518877072008,2699,random
265,0,3470.7065195566615,3772,random
266,0,402.5265749039765,2159,random
267,0,2350.083946863695,3152,random
268,0,4672.6713957462025,4522,random
269,0,346.12929915079803,2114,random
270,0,1070.9846493356688,2522,random
271,0,60.10399122429101,2111,random
272,0,492.8279006087113,2165,random
273,0,555.3186350304964,2294,random
274,0,5138.722657432236,3950,random
275,0,1111.9190138371239,2343,random
276,0,557.100524459255,2388,random
277,0,918.8490569012492,2555,random
278,0,2446.760817389428,3277,random
279,0,428.72319367165824,2018,random
280,0,362.4219889381807,1998,random
281,0,313.2025079255629,1983,random
282,0,1533.9361195364597,2797,random
283,0,4438.445230071782,3735,random
284,0,163.52773792770915,2407,random
285,0,3103.9100168642526,3660,random
286,0,3546.168723600795,3181,random
287,0,354.76563961714163,2051,random
288,0,348.22486918957964,2248,random
289,0,5717.302827878021,4797,random
290,0,1637.4656679810016,3094,random
291,0,631.1795105866809,2248,random
292,0,681.2126387680619,2186,random
293,0,682.0303969477367,2661,random
294,0,336.70870459287596,2166,random
295,0,475.961215081412,2306,random
296,0,343.28299219028764,2240,random
297,0,973.5978631056583,2400,random
298,0,1734.6901730403206,2712,random
299,0,4148.29097053634,3487,random
300,0,5922.045392067095,5394,random
301,0,393.5250835908995,2144,random
302,0,6327.72094857233,5065,random
303,0,495.55897331647395,2349,random
304,0,1294.233116597026,2345,random
305,0,2721.512696025216,3249,random
306,0,6625.157264715099,5661,random
307,0,465.2109839962255,2256,random
308,0,5023.23095412872,5187,random
309,0,213.273911368174,2183,random
310,0,2035.0591057237916,3124,random
311,0,642.7329226637967,2485,random
312,0,1396.3624071419317,2870,random
313,0,2647.2821137935443,3346,random
314,0,514.6024850138582,2671,random
315,0,617.0749728019713,2038,random
316,0,1188.5439879763098,2808,random
317,0,547.463500587799,2254,random
318,0,927.3518309127148,2139,random
319,0,930.3036027513701,2606,random
320,0,1304.9661194399807,2531,random
321,0,3198.653439217727,3450,random
