episode,win,reward,length,opponent
281,1,154.1687759875532,3213,random
282,1,170.6537777722089,802,random
283,1,112.07691526071065,425,random
284,1,162.81279444462842,1084,random
285,1,141.62635402659436,1613,random
286,1,173.52610720385775,1029,random
287,0,-250.07875780099616,5087,random
288,1,165.1222973912496,4111,random
289,0,293.7791447835308,3592,random
290,0,31.624147900316558,5394,random
291,1,189.9086956161653,1337,random
292,0,-112.90427094875537,5121,random
293,1,170.63762869511163,1247,random
294,1,129.60676163485857,969,random
295,1,153.49767215280895,2680,random
296,1,132.06606425654311,578,random
297,1,234.60174898473227,1228,random
298,1,196.30381428153035,780,random
299,1,208.49584052779298,1290,random
300,1,162.1538861602342,715,random
301,0,396.22148504665125,5175,random
302,1,41.74493436300922,2196,random
303,1,161.68676190906152,848,random
304,0,121.02767713552993,4973,random
305,1,135.1400642442766,396,random
306,1,124.98589953373812,620,random
307,1,154.4894894816457,611,random
308,0,228.6345555694282,5386,random
309,1,106.91584972939975,310,random
310,1,121.46074534777536,485,random
311,1,128.52540306438686,613,random
312,1,123.55615914809974,490,random
313,1,305.9290333134407,2540,random
314,1,260.3954781507547,1654,random
315,0,191.28011878216975,2345,random
316,1,129.76174590765177,785,random
317,1,183.1817271494354,1181,random
318,1,98.12578968756144,409,random
319,1,176.20540449430834,751,random
320,0,93.47034763305008,5116,random
321,1,144.46413764813894,710,random
322,1,279.72661934613666,2489,random
323,0,148.00515052967077,3262,random
324,0,193.83189874973434,1760,random
325,1,170.68518914909126,958,random
326,1,165.99687525040923,834,random
327,1,121.09531459733988,488,random
328,1,161.23498422271194,769,random
329,1,129.7160142800264,567,random
330,1,132.5534130622961,685,random
331,1,-49.53295883186222,3765,random
332,1,165.84795417532092,1320,random
333,1,102.48934369655952,3417,random
334,1,135.65470449294332,486,random
335,1,122.90139607107685,771,random
336,1,167.1318298948195,4455,random
337,1,162.0158994475646,881,random
338,1,89.20612698409137,556,random
339,1,157.95746825004133,987,random
340,1,-13.075298234030448,2727,random
341,1,234.7873169738686,1190,random
342,0,411.43017909460775,6830,random
343,1,108.43492707910181,363,random
344,1,137.9946946216548,625,random
345,1,198.00904444372026,864,random
346,1,127.09540676100113,549,random
347,1,143.25395308713172,492,random
348,1,109.03769816874045,628,random
349,1,119.93320090549926,688,random
350,0,206.09948346209308,3036,random
351,1,166.69689128358462,729,random
352,1,117.14976097822534,392,random
353,0,309.6940047446809,5893,random
354,0,368.48523304274636,5727,random
355,1,115.17435530410599,429,random
356,1,183.87125063877096,995,random
357,1,116.89561602605424,440,random
358,1,120.36588249092935,2008,random
359,1,218.32309379121952,1135,random
360,1,90.81518589630211,193,random
361,1,161.8742665671482,783,random
362,1,98.90222904199919,273,random
363,1,109.93527379053779,334,random
364,1,-93.50963870206256,4474,random
