episode,win,reward,length
218,1,19.516917224492957,211
219,1,-375.213483247821,1524
220,1,17.2450015458488,1020
221,1,-81.49986273957114,1156
222,1,24.98908260132537,805
223,1,-2701.8413673029713,2640
224,1,38.342630206596226,384
225,1,-30.569289050472754,713
226,1,-1674.8686260758489,1923
227,0,-10235.018229163557,6410
228,1,-52.63068554647388,955
229,0,-2087.301474887369,2211
230,1,5.928891230859823,919
231,1,9.686073947768815,917
232,0,-7212.754379357542,4984
233,1,28.192414731553516,374
234,1,25.9725404605109,330
235,1,25.230620626593844,772
236,1,2.0306706671602957,729
237,1,-37.34345880759878,910
238,1,-98.7996449367359,1046
239,1,-79.22277226358906,1135
240,1,-103.09666593702825,941
241,1,15.960629437428207,609
242,1,16.518495430970443,623
243,0,-11156.018095456115,6538
244,0,-6491.923224895109,4577
245,1,18.59042877969153,482
246,1,-85.71502469147859,903
247,1,-254.10424740116906,1097
248,1,-898.8568768689652,1702
249,1,33.58609905603069,472
250,1,-821.40969683527,1654
